OrderID,OrderDate,Region
1,01-06-2021,East
2,1-23-21,Central
3,02-09-2021,Central
4,2-26-21,Central
5,3-15-21,West
6,04-01-2021,East
7,4-18-21,Central
8,05-05-2021,Central
9,5-22-21,West
10,06-08-2021,East
11,6-25-21,Central
12,07-12-2021,East
13,7-29-21,East
14,8-15-21,East
15,09-01-2021,Central
16,9-18-21,East
17,10-05-2021,Central
18,10-22-21,East
19,11-08-2021,East
20,11-25-21,Central
21,12-12-2021,Central
22,12-29-21,East
23,1-15-22,Central
24,02-01-2022,Central
25,2-18-22,East
26,03-07-2022,West
27,3-24-22,Central
28,04-10-2022,Central
29,4-27-22,East
30,5-14-22,Central
31,5-31-22,Central
32,6-17-22,Central
33,07-04-2022,East
34,7-21-22,Central
35,08-07-2022,Central
36,8-24-22,West
37,09-10-2022,Central
38,9-27-22,West
39,10-14-22,West
40,10-31-22,Central
41,11-17-22,Central
42,12-04-2022,Central
43,12-21-22,Central
44,02-09-2021,Central
45,5-22-21,West
