OrderID,Total
1,189.05
2,999.5
3,179.64
4,539.73
5,167.44
6,299.4
7,149.25
8,449.1
9,63.68
10,539.4
11,449.1
12,57.71
13,"1,619.19"
14,174.65
15,250
16,255.84
17,251.72
18,575.36
19,299.85
20,479.04
21,86.43
22,"1,183.26"
23,413.54
24,"1,305.00"
25,19.96
26,139.93
27,249.5
28,131.34
29,479.04
30,68.37
31,719.2
32,625
33,309.38
34,686.95
35,"1,005.90"
36,825
37,9.03
38,151.24
39,"1,139.43"
40,18.06
41,54.89
42,"1,879.06"
43,139.72
44,179.64
45,63.68
